Project Name,Project ID,Year,Files
Whistler Major Buildings Facility Strategy,2475,2024,Cornerstone Planning Group_Whistler RFP Response_20240912.pdf RFP-RMOW-Major-Building-Strategy.pdf RMOW_-_RFP_2024-CSPS001_-_Addendum_1__Extension_.pdf RMOW_-_RFP_2024-CSPS001_-_Addendum_2__BCA_Reports_.pdf
Sechelt MHSU CSP,2477,2024,VGH - Sechelt MHSU CSP.docx
Pitt Meadows Civic Centre Needs & FP,2478,2024,2024-10-01 - Proposal - Clean.docx RFP_2024-18PM_CPM_Civic_Centre_Space_Needs_and_Functional_Program.pdf RFP_2024-18PM_CPM_Civic_Centre_Space_Needs_and_Functional_Program_-_Addendum__001.pdf RFP_2024-18PM_CPM_Civic_Centre_Space_Needs_and_Functional_Program_-_Addendum__002.pdf
Yukon Health Systems Plan,2479,2024,RFP-2024-9-3932 - SUBMITTED.pdf RFP-2024-9-3932.pdf
Lloydminster Health Services Needs Assessment,2480,2024,20240712_RFP_8774_GSP.pdf 20240725_RFP_APX_C_GSP_Form_of_Agreement.pdf 20240726_RFP_8774_GSP_ADD_01.pdf RFP_8774_GSP_ADD_02_FINAL.pdf
White River FN Community and Wellness Hub Study,2481,2024,White River FN Community & Wellness Hub - Needs Assessment Proposal - 2024-08-07.pdf
Airdrie Asset Plan,,2024,R24-0000000481 CPG Facility Assessment Proposal.pdf
Burnaby Library MP,,2024,BPL Facilities Master Plan Call for Submissions.docx June 28 - Cornerstone BPL Master Plan Proposal Package.pdf
Capilano University Campus Program - FIGURE THIS OUT!!!!!,,2024,Proposal.pdf
Carrier Sekani Family Services,,2024,"Carrier Sekani Family Services Infrastructure Planning Project - Hi-Level Service Overview_ proposal_2024-04-13.pdf Proposal_CSFS_CI_planning_Hill-Cornerstone_2024-07-01.pdf Re- Space Planning, Needs Assessment, and Implementation Plan.eml"
City of Coquitlam Parks Operations Strategy,,2024,City of Coquitlam Parks Operations - Strategic Plan Proposal Letter - 2024-09-05.pdf
CMHC Granville Island Office Needs Assessment,,2024,GI Office Needs Assessment Proposal Letter.pdf
Coast Mental Health Redevelopment,,2024,CMH_CPGPresentation_DRAFT.pptx Coast Mental Health Redevelopment Proposal.pdf
DNV Municipal Hall Interior Upgrades - sub to KMBR,,2024,Addendum No_ 1 - Issued January 25_ 2024 - RFQ-003-24 - Consulting Services - Architectural.pdf ADDENDUM NO_ 1 - Issued May 30_ 2024 - RFP-019-24 - Consulting Services - Architectural - Interior Upgrades - Municipal Hall.pdf ADDENDUM NO_ 2 - Issued June 6_ 2024 - RFP-019-24 - Consulting Services - Architectural - Interior Upgrades Municipal Hal.pdf KMBR_Submission_DNV Interior Upgrades - Municipal Hall RFP.pdf RFP-019-24 - (FINAL) Consulting Services - Architectural - Interior Upgrades - Municipal Hall.pdf RFQ-003-24 - (FINAL) Consulting Services - Architectural - Municipal Hall Interior Upgrades (1).pdf
Fraser Health LTC Strategy,,2024,2024-04 - 19 FH LTC Strategy .pdf
Fraser Hospital Master Plans - sub to Kasian it looks like so no final,,2024,Addendum 1 01.19.24.pdf Addendum 2 01.22.24.pdf Addendum 3 01.26.24.pdf F097-00 Addendum 4.pdf RFP F097-00(Repost) MP ERH DEH LMH Final 01.16.24.pdf
Hudson Hope Multi-Use Gathering Centre Feasibility Study,,2024,Community Centre RFP v2.pdf Hudsons Hope Cover Letter.pdf
Interior Health - QVH Utilization Study,,2024,Attachment G - Fee and Reimbursement Form.pdf CPG - Attachment F - Evaluation Criteria.pdf CPG - Attachments H and I.pdf CPG-Attachments D and E.pdf CPG-Combined Resumes.pdf RFP- QVH Utilization Study SS070624.pdf
Lytton Communites Facility Feasibility,,2024,08092024_FINAL RFP RESPONSE _LYTTON_CPG_MGA.pdf 2024-07-23-Administrative Community Facilities Feasibility Study-Arch Services-Addendum No 1.pdf
North Van Aquatic Strategy,,2024,North Vancouver Recreation & Culture-Aquatics Strategy-Proposal Draft_Final.pdf RFP__24-07-Consulting_Services_for_Aquatic_Strategy - FORMS.pdf
Polarettes Facility Feasibility Study,,2024,RFB-2024-2-3361 2.pdf RFB-2024-2-3361-Polarettes Facility Feasibility Study.pdf RFB-2024-2-3361.pdf
Port Moody Recreations Facility Feasibility Study,,2024,RFP24-04 - New Recreation Facilities Feasibility Study - Addendum 2.pdf RFP24-04 2.pdf RFP24-04.pdf RFP24-04_-_New_Recreation_Facilities_Feasibility_Study_-_Addendum_1.pdf
RCH Phase 3,,2024,B116-01 RCH Phase 3 RFP FINAL 021624.pdf
RD of Kootenay Boundary Interim HNR,,2024,2024-08-30 - RDKB Interim Housing Needs Report - RFP Proposal Cornerstone Planning Group.pdf RFP-InterimHousingNeeds2024.pdf
Siksika CFS Capital Needs Assessment,,2024,2024-02-14 Siksika Cornerstone Scope Approach.docx Cornerstone Background + Resumes.docx Siksika Nation CFS - NA ToR - Addendum 01.pdf Siksika Nation CFS - ToR - Needs Assessment.pdf Sts'ailes Background + Resumes.docx
SLRD Need & Demand Study,,2024,2023-04-25 - SLRD Housing Needs Assessment - Proposal.pdf
Squamish Nation Parks and Recreation,,2024,202080 ON MERX -Development_of_a_Parks_and_Recreation_Plan.pdf Addendum_1_RFP_Closing_Date_Extension.pdf RFP #20240718 – Development of a Parks and Recreation Plan - Cornerstone Technical Response.pdf RFP__20240718_-_Development_of_a_Parks_and_Recreation_Plan.pdf Project Example 1 - aq'am Needs Analysis and Feasibility Study - CONFIDENTIAL.pdf Project Example 2 - Dene Tha' Social Services Infrastructure and Programming DRAFT 240812 - CONFIDENTIAL.pdf RFP #20240718 – Development of a Parks and Recreation Plan - Cornerstone - Pricing Response.pdf RFP #20240718 – Development of a Parks and Recreation Plan - Cornerstone Technical Response.pdf
Surrey Hospital New Tower,,2024,"C1andC2.pdf F551-00 SMH Tower 2 BIZ Plan CSP FP Addendum 1 071824.pdf F551-00 SMH Tower 2 BIZ Plan CSP FP Addendum 2 072324.pdf F551-00 SMH Tower 2 BIZ Plan CSP FP Addendum 3 072424 (1).pdf RFP_Surrey Memorial Hospital Facilities Master Plan - January 31, 2024_Confidential.pdf SMHT2-CPGResponse-Fee.pdf SMHT2-CPGResponse-Technical.pdf"
Teslin Master Plan,,2024,RFP-2024-5-3586 - Cornerstone Submission.pdf Teslin FMP Request for Proposals (RFP) final.pdf Teslin_ToR_FMP RFP_May 7 2024_WSP Final VAV.pdf
Tsarlit CFS Feasiblity Study,,2024,2024-06-18-RFP-Child-Youth Wellness Centre-Arch Services-Final.pdf 2024-07-04 Tsartlip CFS Scope Letter.pdf
VCH Public Health Equity Alignment Project,,2024,2024-01-30 VCH Public Health Equity Project Proposal.pdf
